user_id,created_at,company_id,language,activated_at,state
103.00,10-01-13 13:05,44,portugese,10-01-13 13:06,active
104.00,10-01-13 17:23,4936,english,10-01-13 17:25,active
105.00,11-01-13 13:25,12000,english,11-01-13 13:26,active
106.00,11-01-13 23:23,12473,italian,11-01-13 23:25,active
107.00,11-01-13 12:28,12411,english,11-01-13 12:30,active
108.00,11-01-13 16:36,8,japanese,11-01-13 16:37,active
109.00,11-01-13 16:34,1777,spanish,,pending
110.00,11-01-13 8:40,87,english,,pending
111.00,11-01-13 16:17,2,arabic,11-01-13 16:18,active
112.00,11-01-13 17:03,11414,german,,pending
113.00,11-01-13 10:52,457,german,11-01-13 10:54,active
114.00,11-01-13 17:59,2696,english,,pending
115.00,11-01-13 22:10,2361,chinese,,pending
116.00,12-01-13 3:07,1,english,,pending
117.00,12-01-13 16:17,8636,japanese,12-01-13 16:19,active
118.00,12-01-13 15:29,1,english,12-01-13 15:31,active
119.00,12-01-13 15:47,5,english,12-01-13 15:48,active
120.00,13-01-13 16:00,376,japanese,13-01-13 16:02,active
121.00,13-01-13 15:04,9770,chinese,13-01-13 15:05,active
122.00,13-01-13 17:22,274,english,,pending
123.00,14-01-13 15:12,219,spanish,14-01-13 15:14,active
124.00,14-01-13 20:22,9039,german,14-01-13 20:24,active
125.00,14-01-13 13:25,10578,english,,pending
126.00,14-01-13 15:59,3,arabic,,pending
127.00,14-01-13 12:00,12072,arabic,,pending
128.00,14-01-13 18:39,2470,russian,14-01-13 18:40,active
129.00,14-01-13 10:08,6,spanish,14-01-13 10:10,active
130.00,14-01-13 10:04,2,german,14-01-13 10:05,active
131.00,14-01-13 14:00,2637,french,,pending
132.00,14-01-13 9:09,23,portugese,14-01-13 9:10,active
133.00,14-01-13 0:17,101,french,14-01-13 0:19,active
134.00,14-01-13 9:34,1914,japanese,14-01-13 9:36,active
135.00,14-01-13 12:55,5981,arabic,,pending
136.00,15-01-13 14:33,11080,spanish,15-01-13 14:35,active
137.00,15-01-13 8:50,2837,english,15-01-13 8:51,active
138.00,15-01-13 23:36,2541,indian,15-01-13 23:37,active
139.00,15-01-13 16:16,467,japanese,15-01-13 16:17,active
140.00,15-01-13 13:01,11088,japanese,15-01-13 13:03,active
141.00,15-01-13 11:02,49,english,,pending
142.00,15-01-13 11:16,2861,english,15-01-13 11:18,active
143.00,15-01-13 0:14,2,indian,15-01-13 0:16,active
144.00,15-01-13 17:07,36,english,15-01-13 17:09,active
145.00,15-01-13 9:53,1118,english,15-01-13 9:54,active
146.00,15-01-13 16:46,12768,japanese,,pending
147.00,15-01-13 18:52,9001,japanese,,pending
148.00,15-01-13 20:09,12534,japanese,,pending
149.00,15-01-13 14:16,2872,english,15-01-13 14:18,active
150.00,15-01-13 11:24,908,english,15-01-13 11:26,active
151.00,16-01-13 14:40,511,english,16-01-13 14:41,active
152.00,16-01-13 13:01,6474,russian,,pending
153.00,16-01-13 17:59,1256,english,16-01-13 18:01,active
154.00,16-01-13 12:29,5385,english,16-01-13 12:30,active
155.00,16-01-13 14:40,2889,english,16-01-13 14:41,active
156.00,16-01-13 18:49,1210,english,16-01-13 18:51,active
157.00,16-01-13 12:49,4749,english,,pending
158.00,16-01-13 10:46,5825,arabic,,pending
159.00,16-01-13 11:58,5849,english,16-01-13 11:59,active
160.00,16-01-13 11:13,12283,indian,,pending
161.00,16-01-13 9:29,4529,japanese,,pending
162.00,16-01-13 11:07,8667,spanish,,pending
163.00,16-01-13 11:35,1092,arabic,16-01-13 11:36,active
164.00,16-01-13 14:36,4807,german,,pending
165.00,17-01-13 7:12,6230,spanish,17-01-13 7:14,active
166.00,17-01-13 17:23,12205,english,17-01-13 17:25,active
167.00,17-01-13 7:00,1214,english,17-01-13 7:01,active
168.00,17-01-13 9:22,5,japanese,,pending
169.00,17-01-13 7:46,825,spanish,,pending
170.00,17-01-13 9:14,11,english,17-01-13 9:15,active
171.00,17-01-13 17:54,13001,korean,17-01-13 17:56,active
172.00,17-01-13 5:13,4196,chinese,17-01-13 5:14,active
173.00,17-01-13 17:25,11339,french,17-01-13 17:26,active
174.00,17-01-13 10:07,478,english,,pending
175.00,17-01-13 12:04,3717,french,17-01-13 12:05,active
176.00,17-01-13 17:28,127,french,,pending
177.00,17-01-13 7:11,11952,italian,17-01-13 7:13,active
178.00,18-01-13 17:51,2730,spanish,18-01-13 17:52,active
179.00,18-01-13 8:24,2976,portugese,18-01-13 8:25,active
180.00,18-01-13 4:29,1,german,,pending
181.00,18-01-13 13:06,2882,spanish,18-01-13 13:08,active
182.00,18-01-13 1:04,2596,indian,18-01-13 1:05,active
183.00,18-01-13 13:00,4924,english,,pending
184.00,18-01-13 17:08,6426,french,18-01-13 17:09,active
185.00,18-01-13 18:59,3109,english,18-01-13 19:00,active
186.00,18-01-13 16:10,753,chinese,18-01-13 16:11,active
187.00,18-01-13 16:11,9,english,,pending
188.00,18-01-13 11:16,130,japanese,18-01-13 11:18,active
189.00,18-01-13 10:13,780,english,,pending
190.00,18-01-13 9:03,12823,english,18-01-13 9:04,active
191.00,18-01-13 2:54,10553,english,18-01-13 2:55,active
192.00,19-01-13 10:13,11020,english,,pending
193.00,19-01-13 12:21,1436,indian,,pending
194.00,19-01-13 18:48,36,english,19-01-13 18:50,active
195.00,19-01-13 23:44,6245,italian,,pending
196.00,20-01-13 17:47,1346,japanese,20-01-13 17:49,active
197.00,20-01-13 14:00,9274,french,,pending
198.00,20-01-13 23:59,12069,english,,pending
199.00,20-01-13 9:27,9284,french,,pending
200.00,21-01-13 14:06,11258,french,,pending
201.00,21-01-13 9:34,8624,english,21-01-13 9:35,active
202.00,21-01-13 13:17,2443,english,,pending
203.00,21-01-13 9:36,11741,japanese,21-01-13 9:38,active
204.00,21-01-13 7:16,108,japanese,,pending
205.00,21-01-13 11:18,13008,japanese,,pending
206.00,21-01-13 18:56,5730,english,21-01-13 18:58,active
207.00,21-01-13 12:29,6219,german,,pending
208.00,21-01-13 11:54,7314,french,21-01-13 11:56,active
209.00,21-01-13 17:07,14,english,21-01-13 17:08,active
210.00,21-01-13 12:07,5,italian,,pending
211.00,21-01-13 14:51,748,spanish,21-01-13 14:52,active
212.00,21-01-13 19:49,4582,indian,21-01-13 19:51,active
213.00,22-01-13 10:58,12023,english,,pending
214.00,22-01-13 10:38,44,russian,22-01-13 10:40,active
215.00,22-01-13 2:11,36,english,22-01-13 2:13,active
216.00,22-01-13 6:36,12567,german,,pending
217.00,22-01-13 12:09,4001,english,22-01-13 12:10,active
218.00,22-01-13 19:14,2847,english,,pending
219.00,22-01-13 4:16,7334,spanish,,pending
220.00,22-01-13 11:23,7,english,22-01-13 11:24,active
221.00,22-01-13 22:09,2234,chinese,22-01-13 22:11,active
222.00,22-01-13 15:40,15,french,,pending
223.00,22-01-13 3:01,3638,english,,pending
224.00,22-01-13 17:04,5793,german,,pending
225.00,22-01-13 23:45,13182,english,,pending
226.00,23-01-13 11:35,6489,english,23-01-13 11:37,active
227.00,23-01-13 12:17,6,english,23-01-13 12:19,active
228.00,23-01-13 20:10,5155,english,23-01-13 20:11,active
229.00,23-01-13 18:43,45,english,,pending
230.00,23-01-13 11:16,5386,french,23-01-13 11:17,active
231.00,23-01-13 15:39,7632,japanese,,pending
232.00,23-01-13 6:51,9781,spanish,23-01-13 6:53,active
233.00,23-01-13 13:26,10502,french,,pending
234.00,23-01-13 7:21,6745,english,,pending
235.00,23-01-13 15:10,893,indian,23-01-13 15:11,active
236.00,23-01-13 3:42,10137,english,,pending
237.00,23-01-13 16:40,10034,spanish,,pending
238.00,23-01-13 9:31,5782,english,,pending
239.00,23-01-13 15:06,9059,japanese,23-01-13 15:08,active
240.00,24-01-13 0:20,42,korean,,pending
241.00,24-01-13 21:15,5043,indian,,pending
242.00,24-01-13 12:33,6427,arabic,,pending
243.00,24-01-13 12:53,4181,spanish,24-01-13 12:54,active
244.00,24-01-13 15:09,4199,english,24-01-13 15:11,active
245.00,24-01-13 11:31,5344,arabic,,pending
246.00,24-01-13 11:25,5,german,24-01-13 11:26,active
247.00,24-01-13 15:19,3977,chinese,24-01-13 15:20,active
248.00,24-01-13 19:19,7608,chinese,,pending
249.00,24-01-13 6:07,2,korean,,pending
250.00,24-01-13 18:40,9564,english,,pending
251.00,24-01-13 20:42,15,indian,,pending
252.00,24-01-13 10:33,4285,english,,pending
253.00,24-01-13 22:21,11615,english,24-01-13 22:22,active
254.00,25-01-13 13:43,3715,arabic,25-01-13 13:44,active
255.00,25-01-13 13:19,4127,russian,,pending
256.00,25-01-13 8:53,1620,english,,pending
257.00,25-01-13 8:51,11452,french,,pending
258.00,25-01-13 11:16,10677,french,,pending
259.00,25-01-13 13:17,5165,english,25-01-13 13:18,active
260.00,25-01-13 2:58,609,chinese,25-01-13 2:59,active
261.00,25-01-13 19:32,1103,english,25-01-13 19:34,active
262.00,25-01-13 11:18,284,italian,25-01-13 11:20,active
263.00,25-01-13 8:04,1577,english,,pending
264.00,25-01-13 11:02,56,japanese,25-01-13 11:03,active
265.00,25-01-13 18:07,10702,russian,,pending
266.00,25-01-13 15:09,8842,english,25-01-13 15:10,active
267.00,25-01-13 4:22,275,french,,pending
268.00,25-01-13 10:45,193,english,25-01-13 10:47,active
269.00,25-01-13 8:33,55,portugese,,pending
270.00,26-01-13 8:40,11925,french,26-01-13 8:42,active
271.00,26-01-13 16:27,39,english,26-01-13 16:28,active
272.00,26-01-13 13:03,10758,chinese,26-01-13 13:04,active
273.00,27-01-13 17:57,10427,russian,,pending
274.00,27-01-13 16:51,1969,arabic,,pending
275.00,27-01-13 11:21,13020,japanese,,pending
276.00,27-01-13 13:56,2225,italian,27-01-13 13:58,active
277.00,28-01-13 9:57,9486,english,,pending
278.00,28-01-13 16:36,5,english,28-01-13 16:38,active
279.00,28-01-13 9:23,303,english,,pending
280.00,28-01-13 16:50,24,german,,pending
281.00,28-01-13 10:46,175,english,28-01-13 10:48,active
282.00,28-01-13 15:30,11425,english,,pending
283.00,28-01-13 1:05,4890,french,,pending
284.00,28-01-13 17:39,2471,english,,pending
285.00,28-01-13 11:13,11340,german,28-01-13 11:14,active
286.00,28-01-13 5:44,12299,japanese,28-01-13 5:45,active
287.00,28-01-13 6:55,4590,english,28-01-13 6:56,active
288.00,28-01-13 23:39,8264,russian,28-01-13 23:41,active
289.00,28-01-13 0:14,150,german,28-01-13 0:16,active
290.00,28-01-13 10:59,2,german,,pending
291.00,29-01-13 7:41,12539,french,,pending
292.00,29-01-13 2:48,484,english,,pending
293.00,29-01-13 0:58,6553,english,,pending
294.00,29-01-13 19:43,8860,japanese,,pending
295.00,29-01-13 18:42,10319,french,,pending
296.00,29-01-13 3:36,9087,english,,pending
297.00,29-01-13 15:01,9077,indian,29-01-13 15:02,active
298.00,29-01-13 16:10,85,chinese,,pending
299.00,29-01-13 20:51,38,german,,pending
300.00,29-01-13 19:58,624,russian,29-01-13 20:00,active
301.00,29-01-13 9:18,3,arabic,29-01-13 9:19,active
302.00,29-01-13 8:41,7925,english,,pending
303.00,29-01-13 14:05,2094,english,,pending
304.00,29-01-13 18:58,6796,chinese,,pending
305.00,30-01-13 10:22,9876,indian,30-01-13 10:24,active
306.00,30-01-13 10:24,6,japanese,30-01-13 10:26,active
307.00,30-01-13 17:48,8,japanese,30-01-13 17:50,active
308.00,30-01-13 10:30,75,english,,pending
309.00,30-01-13 14:39,94,portugese,30-01-13 14:41,active
310.00,30-01-13 13:35,3696,japanese,,pending
311.00,30-01-13 17:04,113,indian,,pending
312.00,30-01-13 4:20,13011,english,30-01-13 4:21,active
313.00,30-01-13 23:08,10354,german,,pending
314.00,30-01-13 17:15,225,english,,pending
315.00,30-01-13 15:08,1,japanese,,pending
316.00,30-01-13 17:11,1193,japanese,,pending
317.00,30-01-13 16:40,18,spanish,,pending
318.00,30-01-13 15:53,4801,arabic,30-01-13 15:54,active
319.00,31-01-13 0:34,3,spanish,31-01-13 0:35,active
320.00,31-01-13 18:59,7667,english,,pending
321.00,31-01-13 18:04,12769,arabic,31-01-13 18:06,active
322.00,31-01-13 16:48,85,portugese,31-01-13 16:49,active
323.00,31-01-13 18:52,3852,english,31-01-13 18:54,active
324.00,31-01-13 8:59,3,japanese,,pending
325.00,31-01-13 10:41,3532,english,,pending
326.00,31-01-13 16:28,3431,french,31-01-13 16:29,active
327.00,31-01-13 13:17,7187,english,,pending
328.00,31-01-13 8:05,13094,english,,pending
329.00,31-01-13 11:59,2,english,,pending
330.00,31-01-13 10:54,6999,japanese,31-01-13 10:56,active
331.00,31-01-13 18:04,6035,english,,pending
332.00,01-02-13 16:27,219,english,01-02-13 16:28,active
333.00,01-02-13 13:27,4182,english,,pending
334.00,01-02-13 15:43,6527,english,,pending
335.00,01-02-13 7:47,2930,spanish,01-02-13 7:48,active
336.00,01-02-13 13:10,10093,chinese,,pending
337.00,01-02-13 15:40,8766,chinese,,pending
338.00,01-02-13 10:17,2,spanish,01-02-13 10:19,active
339.00,01-02-13 5:11,9900,french,,pending
340.00,01-02-13 23:53,5168,italian,,pending
341.00,01-02-13 21:52,4201,english,01-02-13 21:54,active
342.00,01-02-13 18:25,8697,german,,pending
343.00,01-02-13 9:28,2591,english,,pending
344.00,02-02-13 17:18,1,english,,pending
345.00,02-02-13 15:23,10442,english,02-02-13 15:25,active
346.00,02-02-13 18:28,6010,english,02-02-13 18:30,active
347.00,02-02-13 20:05,10,german,02-02-13 20:07,active
348.00,03-02-13 12:15,3,english,,pending
349.00,03-02-13 23:35,7321,arabic,03-02-13 23:37,active
350.00,03-02-13 8:35,8807,japanese,,pending
351.00,03-02-13 21:00,757,german,,pending
352.00,04-02-13 1:51,8809,english,,pending
353.00,04-02-13 10:32,4122,english,04-02-13 10:33,active
354.00,04-02-13 3:22,445,french,,pending
355.00,04-02-13 21:35,12167,chinese,04-02-13 21:37,active
356.00,04-02-13 8:28,11,english,,pending
357.00,04-02-13 10:51,11842,english,,pending
358.00,04-02-13 17:22,3403,english,,pending
359.00,04-02-13 15:58,8083,english,04-02-13 16:00,active
360.00,04-02-13 19:33,10506,spanish,04-02-13 19:34,active
361.00,04-02-13 13:09,1,chinese,04-02-13 13:11,active
362.00,04-02-13 13:28,35,japanese,04-02-13 13:30,active
363.00,04-02-13 11:56,12020,english,04-02-13 11:57,active
364.00,04-02-13 8:26,343,chinese,,pending
365.00,04-02-13 3:53,10053,spanish,04-02-13 3:55,active
366.00,04-02-13 13:07,6145,japanese,04-02-13 13:09,active
367.00,04-02-13 12:41,5886,english,04-02-13 12:42,active
368.00,05-02-13 17:24,17,english,,pending
369.00,05-02-13 14:28,5596,english,05-02-13 14:30,active
370.00,05-02-13 14:17,6795,french,05-02-13 14:18,active
371.00,05-02-13 14:53,8118,japanese,,pending
372.00,05-02-13 14:39,1,english,05-02-13 14:41,active
373.00,05-02-13 17:34,9190,spanish,05-02-13 17:35,active
374.00,05-02-13 22:03,9830,japanese,05-02-13 22:04,active
375.00,05-02-13 21:14,13125,english,,pending
376.00,05-02-13 8:20,5884,german,05-02-13 8:21,active
377.00,05-02-13 13:01,6590,english,05-02-13 13:02,active
378.00,05-02-13 4:00,2376,english,05-02-13 4:02,active
379.00,05-02-13 8:44,4701,french,05-02-13 8:45,active
380.00,05-02-13 10:29,4487,japanese,05-02-13 10:30,active
381.00,05-02-13 0:46,2,english,05-02-13 0:47,active
382.00,05-02-13 16:23,4553,english,,pending
383.00,05-02-13 23:47,155,arabic,05-02-13 23:48,active
384.00,06-02-13 18:30,9,spanish,06-02-13 18:32,active
385.00,06-02-13 18:11,159,english,06-02-13 18:13,active
386.00,06-02-13 11:30,6,english,,pending
387.00,06-02-13 13:49,3887,english,,pending
388.00,06-02-13 10:39,7654,spanish,06-02-13 10:40,active
389.00,06-02-13 1:04,11636,spanish,,pending
390.00,06-02-13 20:16,4697,english,06-02-13 20:17,active
391.00,06-02-13 16:39,224,spanish,,pending
392.00,06-02-13 16:14,7120,english,,pending
393.00,06-02-13 10:46,3,english,06-02-13 10:47,active
394.00,06-02-13 1:41,2475,japanese,,pending
395.00,06-02-13 14:13,6522,english,,pending
396.00,06-02-13 4:37,9894,english,,pending
397.00,06-02-13 6:51,9060,english,06-02-13 6:53,active
398.00,07-02-13 11:34,6572,german,,pending
399.00,07-02-13 15:40,13075,english,07-02-13 15:42,active
400.00,07-02-13 2:21,7851,english,,pending
401.00,07-02-13 3:23,7978,italian,,pending
402.00,07-02-13 18:16,12013,arabic,07-02-13 18:17,active
403.00,07-02-13 15:14,1,russian,07-02-13 15:17,active
404.00,07-02-13 14:03,3453,english,07-02-13 14:04,active
405.00,07-02-13 18:25,349,arabic,07-02-13 18:26,active
406.00,07-02-13 16:56,10036,english,07-02-13 16:57,active
407.00,07-02-13 6:13,6458,chinese,,pending
408.00,07-02-13 10:47,36,french,07-02-13 10:48,active
409.00,07-02-13 12:00,1,english,07-02-13 12:01,active
410.00,07-02-13 2:39,7666,english,,pending
411.00,07-02-13 13:56,868,italian,07-02-13 13:58,active
412.00,07-02-13 19:13,6078,english,07-02-13 19:14,active
413.00,08-02-13 15:07,8523,english,08-02-13 15:09,active
414.00,08-02-13 15:03,513,indian,08-02-13 15:05,active
415.00,08-02-13 1:56,1,french,,pending
416.00,08-02-13 8:16,3972,japanese,,pending
417.00,08-02-13 15:56,1,english,08-02-13 15:57,active
418.00,08-02-13 14:19,9945,english,,pending
419.00,08-02-13 18:32,12655,english,,pending
420.00,08-02-13 4:14,5838,english,08-02-13 4:16,active
421.00,08-02-13 17:29,6000,french,,pending
422.00,08-02-13 12:45,9147,indian,,pending
423.00,08-02-13 16:01,76,spanish,,pending
424.00,08-02-13 7:25,3314,english,,pending
425.00,08-02-13 9:51,12578,chinese,,pending
426.00,08-02-13 11:10,29,english,,pending
427.00,08-02-13 12:25,1,english,,pending
428.00,08-02-13 19:02,2,english,08-02-13 19:04,active
429.00,08-02-13 16:34,2876,english,08-02-13 16:36,active
430.00,08-02-13 12:33,10,chinese,08-02-13 12:35,active
431.00,09-02-13 17:59,45,english,,pending
432.00,09-02-13 13:01,21,english,09-02-13 13:03,active
433.00,09-02-13 8:59,9806,french,,pending
434.00,09-02-13 13:52,329,french,09-02-13 13:54,active
435.00,10-02-13 7:26,5408,english,,pending
436.00,10-02-13 12:22,15,english,,pending
437.00,10-02-13 9:57,8635,portugese,10-02-13 9:59,active
438.00,10-02-13 15:54,5,spanish,,pending
439.00,11-02-13 8:48,2147,german,11-02-13 8:49,active
440.00,11-02-13 8:14,1705,english,,pending
441.00,11-02-13 11:33,25,english,11-02-13 11:35,active
442.00,11-02-13 8:33,27,arabic,,pending
443.00,11-02-13 14:24,4822,english,11-02-13 14:26,active
444.00,11-02-13 13:45,10576,spanish,,pending
445.00,11-02-13 12:32,73,french,,pending
446.00,11-02-13 14:00,5878,english,,pending
447.00,11-02-13 3:06,11949,french,,pending
448.00,11-02-13 13:37,9602,chinese,,pending
449.00,11-02-13 18:08,12098,indian,,pending
450.00,11-02-13 15:48,4787,chinese,,pending
451.00,11-02-13 19:44,8999,german,11-02-13 19:46,active
452.00,11-02-13 11:02,6326,english,,pending
453.00,12-02-13 14:26,6781,german,12-02-13 14:28,active
454.00,12-02-13 9:41,6039,french,12-02-13 9:42,active
455.00,12-02-13 10:57,1538,indian,,pending
456.00,12-02-13 18:41,2086,english,,pending
457.00,12-02-13 18:13,4485,english,12-02-13 18:15,active
458.00,12-02-13 17:51,6504,english,,pending
459.00,12-02-13 15:25,3734,french,,pending
460.00,12-02-13 8:41,3309,english,12-02-13 8:42,active
461.00,12-02-13 11:14,3,korean,12-02-13 11:15,active
462.00,12-02-13 22:33,4,korean,12-02-13 22:34,active
463.00,12-02-13 9:47,4793,english,,pending
464.00,12-02-13 18:16,1111,russian,12-02-13 18:17,active
465.00,12-02-13 5:11,1909,english,,pending
466.00,12-02-13 18:53,9750,spanish,12-02-13 18:55,active
467.00,12-02-13 11:16,12486,japanese,12-02-13 11:17,active
468.00,13-02-13 3:28,4508,english,,pending
469.00,13-02-13 15:01,3613,spanish,13-02-13 15:03,active
470.00,13-02-13 15:01,399,english,13-02-13 15:03,active
471.00,13-02-13 14:34,21,chinese,13-02-13 14:35,active
472.00,13-02-13 22:35,2,portugese,,pending
473.00,13-02-13 9:53,10534,russian,,pending
474.00,13-02-13 17:15,6032,english,13-02-13 17:16,active
475.00,13-02-13 13:10,9571,spanish,,pending
476.00,13-02-13 4:39,7424,english,,pending
477.00,13-02-13 8:52,1,english,,pending
478.00,13-02-13 13:11,4410,english,13-02-13 13:12,active
479.00,13-02-13 10:41,9751,english,13-02-13 10:42,active
480.00,13-02-13 14:30,9617,english,,pending
481.00,13-02-13 18:11,9954,japanese,,pending
482.00,13-02-13 15:03,13168,english,13-02-13 15:04,active
483.00,13-02-13 15:09,11571,spanish,,pending
484.00,14-02-13 18:47,4896,russian,14-02-13 18:49,active
485.00,14-02-13 3:36,105,german,14-02-13 3:38,active
486.00,14-02-13 10:39,4632,english,,pending
487.00,14-02-13 13:35,1267,english,14-02-13 13:36,active
488.00,14-02-13 13:29,3,english,14-02-13 13:31,active
489.00,14-02-13 7:17,773,russian,14-02-13 7:19,active
490.00,14-02-13 20:27,3562,spanish,14-02-13 20:29,active
491.00,14-02-13 6:46,2,indian,14-02-13 6:47,active
492.00,14-02-13 13:11,8821,english,14-02-13 13:13,active
493.00,14-02-13 11:33,4294,japanese,14-02-13 11:34,active
494.00,14-02-13 16:28,79,english,14-02-13 16:30,active
495.00,14-02-13 16:20,2927,english,14-02-13 16:21,active
496.00,15-02-13 15:45,4874,french,,pending
497.00,15-02-13 11:32,781,italian,15-02-13 11:33,active
498.00,15-02-13 17:03,12585,english,15-02-13 17:04,active
499.00,15-02-13 21:06,9408,english,,pending
500.00,15-02-13 14:26,460,english,,pending
501.00,15-02-13 13:14,9,english,15-02-13 13:15,active
502.00,15-02-13 3:30,8880,arabic,,pending
503.00,15-02-13 1:49,4563,english,15-02-13 1:50,active
504.00,15-02-13 12:47,5444,spanish,,pending
505.00,15-02-13 10:01,3,english,,pending
506.00,15-02-13 9:00,4622,indian,,pending
507.00,15-02-13 1:51,548,english,,pending
508.00,15-02-13 9:14,2,english,,pending
509.00,15-02-13 18:19,7884,english,,pending
510.00,15-02-13 18:53,11289,english,,pending
